Date,Weekday,Day_of_Week,Week_Year,Month,Month_String,Quarter,Year
2020-04-20,2,Mon,17,4,Apr,2,2020
2020-04-21,3,Tue,17,4,Apr,2,2020
2020-04-22,4,Wed,17,4,Apr,2,2020
2020-04-23,5,Thu,17,4,Apr,2,2020
2020-04-24,6,Fri,17,4,Apr,2,2020
2020-04-25,7,Sat,17,4,Apr,2,2020
2020-04-26,1,Sun,17,4,Apr,2,2020
2020-04-27,2,Mon,18,4,Apr,2,2020
2020-04-28,3,Tue,18,4,Apr,2,2020
2020-04-29,4,Wed,18,4,Apr,2,2020
2020-04-30,5,Thu,18,4,Apr,2,2020
2020-05-01,6,Fri,18,5,May,2,2020
2020-05-02,7,Sat,18,5,May,2,2020
2020-05-03,1,Sun,18,5,May,2,2020
2020-05-04,2,Mon,19,5,May,2,2020
2020-05-05,3,Tue,19,5,May,2,2020
2020-05-06,4,Wed,19,5,May,2,2020
2020-05-07,5,Thu,19,5,May,2,2020
2020-05-08,6,Fri,19,5,May,2,2020
2020-05-09,7,Sat,19,5,May,2,2020
2020-05-10,1,Sun,19,5,May,2,2020
2020-05-11,2,Mon,20,5,May,2,2020
2020-05-12,3,Tue,20,5,May,2,2020
2020-05-13,4,Wed,20,5,May,2,2020
2020-05-14,5,Thu,20,5,May,2,2020
2020-05-15,6,Fri,20,5,May,2,2020
2020-05-16,7,Sat,20,5,May,2,2020
2020-05-17,1,Sun,20,5,May,2,2020
2020-05-18,2,Mon,21,5,May,2,2020
2020-05-19,3,Tue,21,5,May,2,2020
2020-05-20,4,Wed,21,5,May,2,2020
2020-05-21,5,Thu,21,5,May,2,2020
2020-05-22,6,Fri,21,5,May,2,2020
2020-05-23,7,Sat,21,5,May,2,2020
2020-05-24,1,Sun,21,5,May,2,2020
2020-05-25,2,Mon,22,5,May,2,2020
2020-05-26,3,Tue,22,5,May,2,2020
2020-05-27,4,Wed,22,5,May,2,2020
2020-05-28,5,Thu,22,5,May,2,2020
2020-05-29,6,Fri,22,5,May,2,2020
2020-05-30,7,Sat,22,5,May,2,2020
2020-05-31,1,Sun,22,5,May,2,2020
2020-06-01,2,Mon,23,6,Jun,2,2020
2020-06-02,3,Tue,23,6,Jun,2,2020
2020-06-03,4,Wed,23,6,Jun,2,2020
2020-06-04,5,Thu,23,6,Jun,2,2020
2020-06-05,6,Fri,23,6,Jun,2,2020
2020-06-06,7,Sat,23,6,Jun,2,2020
2020-06-07,1,Sun,23,6,Jun,2,2020
2020-06-08,2,Mon,24,6,Jun,2,2020
2020-06-09,3,Tue,24,6,Jun,2,2020
2020-06-10,4,Wed,24,6,Jun,2,2020
2020-06-11,5,Thu,24,6,Jun,2,2020
2020-06-12,6,Fri,24,6,Jun,2,2020
2020-06-13,7,Sat,24,6,Jun,2,2020
2020-06-14,1,Sun,24,6,Jun,2,2020
2020-06-15,2,Mon,25,6,Jun,2,2020
2020-06-16,3,Tue,25,6,Jun,2,2020
2020-06-17,4,Wed,25,6,Jun,2,2020
2020-06-18,5,Thu,25,6,Jun,2,2020
2020-06-19,6,Fri,25,6,Jun,2,2020
2020-06-20,7,Sat,25,6,Jun,2,2020
2020-06-21,1,Sun,25,6,Jun,2,2020
2020-06-22,2,Mon,26,6,Jun,2,2020
2020-06-23,3,Tue,26,6,Jun,2,2020
2020-06-24,4,Wed,26,6,Jun,2,2020
2020-06-25,5,Thu,26,6,Jun,2,2020
2020-06-26,6,Fri,26,6,Jun,2,2020
2020-06-27,7,Sat,26,6,Jun,2,2020
2020-06-28,1,Sun,26,6,Jun,2,2020
2020-06-29,2,Mon,27,6,Jun,2,2020
2020-06-30,3,Tue,27,6,Jun,2,2020
2020-07-01,4,Wed,27,7,Jul,3,2020
2020-07-02,5,Thu,27,7,Jul,3,2020
2020-07-03,6,Fri,27,7,Jul,3,2020
2020-07-04,7,Sat,27,7,Jul,3,2020
2020-07-05,1,Sun,27,7,Jul,3,2020
2020-07-06,2,Mon,28,7,Jul,3,2020
2020-07-07,3,Tue,28,7,Jul,3,2020
2020-07-08,4,Wed,28,7,Jul,3,2020
2020-07-09,5,Thu,28,7,Jul,3,2020
2020-07-10,6,Fri,28,7,Jul,3,2020
2020-07-11,7,Sat,28,7,Jul,3,2020
2020-07-12,1,Sun,28,7,Jul,3,2020
2020-07-13,2,Mon,29,7,Jul,3,2020
2020-07-14,3,Tue,29,7,Jul,3,2020
2020-07-15,4,Wed,29,7,Jul,3,2020
2020-07-16,5,Thu,29,7,Jul,3,2020
2020-07-17,6,Fri,29,7,Jul,3,2020
2020-07-18,7,Sat,29,7,Jul,3,2020
2020-07-19,1,Sun,29,7,Jul,3,2020
2020-07-20,2,Mon,30,7,Jul,3,2020
2020-07-21,3,Tue,30,7,Jul,3,2020
2020-07-22,4,Wed,30,7,Jul,3,2020
2020-07-23,5,Thu,30,7,Jul,3,2020
2020-07-24,6,Fri,30,7,Jul,3,2020
2020-07-25,7,Sat,30,7,Jul,3,2020
2020-07-26,1,Sun,30,7,Jul,3,2020
2020-07-27,2,Mon,31,7,Jul,3,2020
2020-07-28,3,Tue,31,7,Jul,3,2020
2020-07-29,4,Wed,31,7,Jul,3,2020
2020-07-30,5,Thu,31,7,Jul,3,2020
2020-07-31,6,Fri,31,7,Jul,3,2020
2020-08-01,7,Sat,31,8,Aug,3,2020
2020-08-02,1,Sun,31,8,Aug,3,2020
2020-08-03,2,Mon,32,8,Aug,3,2020
2020-08-04,3,Tue,32,8,Aug,3,2020
2020-08-05,4,Wed,32,8,Aug,3,2020
2020-08-06,5,Thu,32,8,Aug,3,2020
2020-08-07,6,Fri,32,8,Aug,3,2020
2020-08-08,7,Sat,32,8,Aug,3,2020
2020-08-09,1,Sun,32,8,Aug,3,2020
2020-08-10,2,Mon,33,8,Aug,3,2020
2020-08-11,3,Tue,33,8,Aug,3,2020
2020-08-12,4,Wed,33,8,Aug,3,2020
2020-08-13,5,Thu,33,8,Aug,3,2020
2020-08-14,6,Fri,33,8,Aug,3,2020
2020-08-15,7,Sat,33,8,Aug,3,2020
2020-08-16,1,Sun,33,8,Aug,3,2020
2020-08-17,2,Mon,34,8,Aug,3,2020
2020-08-18,3,Tue,34,8,Aug,3,2020
2020-08-19,4,Wed,34,8,Aug,3,2020
2020-08-20,5,Thu,34,8,Aug,3,2020
2020-08-21,6,Fri,34,8,Aug,3,2020
2020-08-22,7,Sat,34,8,Aug,3,2020
2020-08-23,1,Sun,34,8,Aug,3,2020
2020-08-24,2,Mon,35,8,Aug,3,2020
2020-08-25,3,Tue,35,8,Aug,3,2020
2020-08-26,4,Wed,35,8,Aug,3,2020
2020-08-27,5,Thu,35,8,Aug,3,2020
2020-08-28,6,Fri,35,8,Aug,3,2020
2020-08-29,7,Sat,35,8,Aug,3,2020
2020-08-30,1,Sun,35,8,Aug,3,2020
2020-08-31,2,Mon,36,8,Aug,3,2020
2020-09-01,3,Tue,36,9,Sep,3,2020
