Trends in Number of COVID-19 Vaccinations in the US
Date generated: Tue Mar 16 2021 12:35:30 GMT-0400 (Eastern Daylight Time)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-25,LTC,109273,42102,66719,7080102,4624822,2415325,29791,87405,57208,null,null,66719,4624822,2415325,57207
Admin,2021-02-26,LTC,68755,22407,46035,7148857,4647229,2461360,27655,81424,53382,null,null,46035,4647229,2461360,53382
Admin,2021-02-27,LTC,41487,13073,28217,7190344,4660302,2489577,26763,78800,51666,null,null,28217,4660302,2489577,51666
Admin,2021-03-01,LTC,36920,12719,23980,7248173,4679211,2528158,23467,67740,43952,null,null,23980,4679211,2528158,43952
Admin,2021-03-02,LTC,40131,14700,25220,7288304,4693911,2553378,21316,60283,38686,null,null,25223,4693911,2553381,38686
Admin,2021-03-03,LTC,40628,12900,27517,7328932,4706811,2580895,17727,51157,33184,null,null,27519,4706811,2580900,33184
Admin,2021-03-04,LTC,39628,11497,27847,7368560,4718308,2608742,13355,41208,27631,null,null,27847,4718308,2608747,27631
Admin,2021-03-05,LTC,38776,12584,25938,7407336,4730892,2634680,11952,36925,24760,null,null,25945,4730892,2634692,24761
Admin,2021-03-08,LTC,23358,7381,15772,7457051,4746600,2668265,9627,29839,20015,null,null,15774,4746600,2668340,20026
Admin,2021-03-09,LTC,25922,9172,16580,7482973,4755772,2684845,8837,27809,18781,null,null,16581,4755772,2684921,18791
Admin,2021-03-10,LTC,22973,7532,15254,7505946,4763304,2700099,8070,25287,17029,null,null,15255,4763304,2700176,17039
